METADATA BEGINNING,,,,,,,,,
SampleID,Species,Date of collection,Latitude,Longitude,Elevation (m),Region,Continent,Locality,Habitat
SCL-15-7,Adineta sp.,7/1/2015,69.338889,154.996944,14,Arctic,Asia,"Russian Federation, Sakha (Yakutia) Republic, Srednekolymskiy Ulus, river Alazeya valley",
BJO1604,Adineta cf. vaga,7/15/2016,74.4836111,18.9791667,2,Arctic,Europe,"Svalbard, Bjornoya island",lichen
CHI16239_1,Adineta cf. vaga,8/5/2015,26.5416667,99.8866944,2299,Temporal,Asia,"China, Yunnan province, Jianchuan",terrestrial moss
CHI16239_2,Adineta cuneata,8/5/2015,26.5416667,99.8866944,2299,Temporal,Asia,"China, Yunnan province, Jianchuan",terrestrial moss
CZ1612,Adineta cf. oculata,7/5/2016,49.0756861,13.3986611,1095,Temporal,Europe,"Czech Republic, Plzeňský kraj, Klatovy district, Prášilské Lake",sediment from lake
IT1633,Adineta sp.,1/28/2016,36.7780556,11.9988889,710,Temporal,Europe,"Italy, Isola di Pantelleria, Scauri",moss in the volcanic opening
PL1601,Adineta steineri,7/31/2016,50.0947528,18.2643917,187,Temporal,Europe,"Poland, Lower Silesia, in the vicinity of Raciborz",terrestrial moss
PL1603,Adineta steineri,7/31/2016,50.0947528,18.2643917,187,Temporal,Europe,"Poland, Lower Silesia, in the vicinity of Raciborz",terrestrial moss
Unamur,Adineta cf. vaga,NA,NA,NA,NA,Temporal,Europe,"lab culture from the Karin Van Doninck's lab, University of Namur, Belgium (unknown origin)",NA
US1601,Adineta glauca,8/15/2016,55.0687472,-131.6099083,37,Arctic,North America,"USA, Alaska, Annette Island",soil
US1602,Adineta cf. tuberculosa,3/10/2016,39.1730556,-77.2719917,130,Temporal,North America,"USA, Maryland, Germantown",lichen
METADATA END,,,,,,,,,
SampleID,Plate,Individual,Survival,,,,,,
CZ1612,15,I9,0,,,,,,
CZ1612,15,I10,0,,,,,,
CZ1612,15,I11,0,,,,,,
CZ1612,15,I12,0,,,,,,
CZ1612,16,I1,0,,,,,,
CZ1612,16,I2,0,,,,,,
CZ1612,16,I3,0,,,,,,
CZ1612,16,I4,0,,,,,,
CZ1612,16,I5,0,,,,,,
CZ1612,16,I6,0,,,,,,
CZ1612,16,I7,0,,,,,,
CZ1612,16,I8,0,,,,,,
CZ1612,16,I9,0,,,,,,
CZ1612,16,I10,0,,,,,,
CZ1612,16,I11,0,,,,,,
CZ1612,16,I12,0,,,,,,
CZ1612,17,I1,0,,,,,,
CZ1612,17,I2,0,,,,,,
CZ1612,17,I3,0,,,,,,
CZ1612,17,I4,0,,,,,,
CZ1612,17,I5,0,,,,,,
CZ1612,17,I6,0,,,,,,
CZ1612,17,I7,0,,,,,,
CZ1612,17,I8,0,,,,,,
CZ1612,17,I9,0,,,,,,
CZ1612,17,I10,0,,,,,,
CZ1612,17,I11,0,,,,,,
CZ1612,17,I12,0,,,,,,
BJO1604,18,I1,0,,,,,,
BJO1604,18,I2,0,,,,,,
BJO1604,18,I3,0,,,,,,
BJO1604,18,I4,0,,,,,,
BJO1604,18,I5,0,,,,,,
BJO1604,18,I6,0,,,,,,
BJO1604,18,I7,0,,,,,,
BJO1604,18,I8,0,,,,,,
BJO1604,18,I9,0,,,,,,
BJO1604,18,I10,0,,,,,,
BJO1604,18,I11,0,,,,,,
BJO1604,18,I12,0,,,,,,
BJO1604,19,I1,0,,,,,,
BJO1604,19,I2,0,,,,,,
BJO1604,19,I3,0,,,,,,
BJO1604,19,I4,0,,,,,,
BJO1604,19,I5,0,,,,,,
BJO1604,19,I6,0,,,,,,
BJO1604,19,I7,0,,,,,,
BJO1604,19,I8,0,,,,,,
BJO1604,19,I9,0,,,,,,
BJO1604,19,I10,0,,,,,,
BJO1604,19,I11,0,,,,,,
BJO1604,19,I12,0,,,,,,
CHI16239_1,20,I1,1,,,,,,
CHI16239_1,20,I2,0,,,,,,
CHI16239_1,20,I3,0,,,,,,
CHI16239_1,20,I4,0,,,,,,
CHI16239_1,20,I5,0,,,,,,
CHI16239_1,20,I6,0,,,,,,
CHI16239_1,20,I7,0,,,,,,
CHI16239_1,20,I8,0,,,,,,
CHI16239_1,20,I9,0,,,,,,
CHI16239_1,20,I10,0,,,,,,
CHI16239_1,20,I11,0,,,,,,
CHI16239_1,20,I12,0,,,,,,
CHI16239_1,21,I1,0,,,,,,
CHI16239_1,21,I2,0,,,,,,
CHI16239_1,21,I3,0,,,,,,
CHI16239_1,21,I4,0,,,,,,
CHI16239_1,21,I5,0,,,,,,
CHI16239_1,21,I6,0,,,,,,
CHI16239_1,21,I7,1,,,,,,
CHI16239_1,21,I8,0,,,,,,
CHI16239_1,21,I9,0,,,,,,
CHI16239_1,21,I10,0,,,,,,
CHI16239_1,21,I11,0,,,,,,
CHI16239_1,21,I12,1,,,,,,
CHI16239_1,22,I1,0,,,,,,
CHI16239_1,22,I2,0,,,,,,
CHI16239_1,22,I3,0,,,,,,
CHI16239_1,22,I4,0,,,,,,
CHI16239_1,22,I5,0,,,,,,
CHI16239_1,22,I6,0,,,,,,
CHI16239_1,22,I7,0,,,,,,
CHI16239_1,22,I8,1,,,,,,
CHI16239_1,22,I9,1,,,,,,
CHI16239_1,22,I10,0,,,,,,
CHI16239_1,22,I11,0,,,,,,
CHI16239_1,22,I12,0,,,,,,
CHI16239_1,23,I1,0,,,,,,
CHI16239_1,23,I2,0,,,,,,
CHI16239_1,23,I3,0,,,,,,
CHI16239_1,23,I4,0,,,,,,
CHI16239_1,23,I5,1,,,,,,
CHI16239_1,23,I6,0,,,,,,
CHI16239_1,23,I7,0,,,,,,
CHI16239_1,23,I8,1,,,,,,
CHI16239_1,23,I9,0,,,,,,
CHI16239_1,23,I10,0,,,,,,
CHI16239_1,23,I11,0,,,,,,
CHI16239_1,23,I12,1,,,,,,
CHI16239_2,24,I1,0,,,,,,
CHI16239_2,24,I2,0,,,,,,
CHI16239_2,24,I3,0,,,,,,
CHI16239_2,24,I4,0,,,,,,
CHI16239_2,24,I5,0,,,,,,
CHI16239_2,24,I6,0,,,,,,
CHI16239_2,24,I7,1,,,,,,
CHI16239_2,24,I8,0,,,,,,
CHI16239_2,24,I9,0,,,,,,
CHI16239_2,24,I10,0,,,,,,
CHI16239_2,24,I11,0,,,,,,
CHI16239_2,24,I12,0,,,,,,
CHI16239_2,25,I1,0,,,,,,
CHI16239_2,25,I2,1,,,,,,
CHI16239_2,25,I3,0,,,,,,
CHI16239_2,25,I4,1,,,,,,
CHI16239_2,25,I5,1,,,,,,
CHI16239_2,25,I6,0,,,,,,
CHI16239_2,25,I7,0,,,,,,
CHI16239_2,25,I8,1,,,,,,
CHI16239_2,25,I9,1,,,,,,
CHI16239_2,25,I10,0,,,,,,
CHI16239_2,25,I11,1,,,,,,
CHI16239_2,25,I12,1,,,,,,
CHI16239_2,26,I1,0,,,,,,
CHI16239_2,26,I2,1,,,,,,
CHI16239_2,26,I3,0,,,,,,
CHI16239_2,26,I4,0,,,,,,
CHI16239_2,26,I5,1,,,,,,
CHI16239_2,26,I6,1,,,,,,
CHI16239_2,26,I7,1,,,,,,
CHI16239_2,26,I8,0,,,,,,
CHI16239_2,26,I9,0,,,,,,
CHI16239_2,26,I10,0,,,,,,
CHI16239_2,26,I11,0,,,,,,
CHI16239_2,26,I12,1,,,,,,
CHI16239_2,27,I1,0,,,,,,
CHI16239_2,27,I2,0,,,,,,
CHI16239_2,27,I3,0,,,,,,
CHI16239_2,27,I4,1,,,,,,
CHI16239_2,27,I5,0,,,,,,
CHI16239_2,27,I6,0,,,,,,
CHI16239_2,27,I7,0,,,,,,
CHI16239_2,27,I8,0,,,,,,
CHI16239_2,27,I9,1,,,,,,
CHI16239_2,27,I10,0,,,,,,
CHI16239_2,27,I11,0,,,,,,
CHI16239_2,27,I12,1,,,,,,
US1601,28,I1,1,,,,,,
US1601,28,I2,1,,,,,,
US1601,28,I3,0,,,,,,
US1601,28,I4,1,,,,,,
US1601,28,I5,0,,,,,,
US1601,28,I6,1,,,,,,
US1601,28,I7,0,,,,,,
US1601,28,I8,1,,,,,,
US1601,28,I9,0,,,,,,
US1601,28,I10,0,,,,,,
US1601,28,I11,0,,,,,,
US1601,28,I12,0,,,,,,
US1601,29,I1,0,,,,,,
US1601,29,I2,0,,,,,,
US1601,29,I3,0,,,,,,
US1601,29,I4,0,,,,,,
US1601,29,I5,0,,,,,,
US1601,29,I6,0,,,,,,
US1601,29,I7,0,,,,,,
US1601,29,I8,0,,,,,,
US1601,29,I9,0,,,,,,
US1601,29,I10,0,,,,,,
US1601,29,I11,0,,,,,,
US1601,29,I12,1,,,,,,
US1601,30,I1,0,,,,,,
US1601,30,I2,0,,,,,,
US1601,30,I3,0,,,,,,
US1601,30,I4,0,,,,,,
US1601,30,I5,0,,,,,,
US1601,30,I6,0,,,,,,
US1602,31,I1,0,,,,,,
US1602,31,I2,0,,,,,,
US1602,31,I3,1,,,,,,
US1602,31,I4,1,,,,,,
US1602,31,I5,0,,,,,,
US1602,31,I6,1,,,,,,
US1602,31,I7,0,,,,,,
US1602,31,I8,1,,,,,,
US1602,31,I9,0,,,,,,
US1602,31,I10,1,,,,,,
US1602,31,I11,1,,,,,,
US1602,31,I12,0,,,,,,
US1602,32,I1,0,,,,,,
US1602,32,I2,0,,,,,,
US1602,32,I3,0,,,,,,
US1602,32,I4,0,,,,,,
US1602,32,I5,1,,,,,,
US1602,32,I6,1,,,,,,
US1602,32,I7,0,,,,,,
US1602,32,I8,0,,,,,,
US1602,32,I9,0,,,,,,
US1602,32,I10,1,,,,,,
US1602,32,I11,0,,,,,,
US1602,32,I12,0,,,,,,
US1602,33,I1,0,,,,,,
US1602,33,I2,0,,,,,,
